m.z,r.t,p.value,t.score,mode
400.1428,3.49,0.138,1.610496544,negative
516.207,6.311,0.139,-1.607233455,positive
205.1634,7.711,0.14,1.605106959,positive
241.1295,4.812,0.14,1.601848259,positive
341.1238,3.166,0.14,-1.601865711,negative
489.1394,3.349,0.141,-1.59658139,positive
323.0577,4.005,0.141,-1.599356801,negative
346.1323,0.513,0.141,1.598643905,negative
104.0818,4.801,0.142,1.596193429,positive
344.2064,0.516,0.142,1.595793839,positive
369.1291,4.69,0.142,1.594141879,positive
399.1654,0.559,0.142,-1.592062132,negative
221.1607,4.761,0.143,1.588151691,positive
249.0371,5.647,0.143,-1.589377108,positive
187.0416,2.303,0.143,-1.590991717,negative
315.0719,5.501,0.143,-1.588665459,negative
417.1191,3.981,0.143,1.589846351,negative
228.0868,4.611,0.144,1.583784372,positive
247.0796,2.434,0.144,-1.583334164,negative
603.1886,3.693,0.144,1.585695876,negative
265.1184,0.981,0.145,-1.579669416,negative
323.0557,2.493,0.145,-1.582504525,negative
383.1166,1.001,0.145,-1.580668984,negative
507.1128,2.331,0.145,-1.579024113,negative
425.2133,5.414,0.146,1.576099726,negative
546.3042,0.52,0.146,-1.576969308,negative
182.0308,1.029,0.147,-1.573589096,negative
545.2041,3.931,0.147,-1.574261669,negative
259.0278,2.431,0.148,-1.568329654,negative
370.0777,4.777,0.148,-1.566773561,negative
411.1293,0.569,0.148,-1.569254479,negative
342.2272,1.218,0.149,1.562974332,positive
300.0195,3.182,0.149,-1.561512582,negative
262.1648,4.112,0.15,1.559093117,positive
336.0351,2.633,0.15,1.558995471,negative
395.0644,1.738,0.15,-1.55752906,negative
459.2375,0.514,0.15,-1.558897271,negative
272.1239,7.242,0.152,-1.549532194,positive
419.1429,3.43,0.152,1.552271874,negative
260.1969,7.609,0.153,1.545962766,positive
281.1496,3.679,0.154,-1.540648343,positive
365.1337,4.633,0.155,1.539736861,positive
205.0059,2.072,0.155,-1.539847236,negative
363.0706,2.372,0.155,-1.539147959,negative
325.0719,2.459,0.156,-1.533758544,negative
343.1393,0.52,0.156,-1.534596993,negative
144.1028,4.464,0.157,-1.528121606,positive
299.0984,5.442,0.157,-1.529403183,negative
343.0672,6.081,0.157,1.528663403,negative
135.0299,6.065,0.158,1.52429958,negative
178.0444,1.022,0.159,-1.520743133,negative
285.0436,0.548,0.159,-1.52209306,negative
475.1985,3.657,0.16,-1.517422934,negative
161.9867,2.345,0.161,1.512401211,negative
403.1027,3.097,0.161,1.512800819,negative
425.1117,3.872,0.161,-1.513423407,negative
334.1857,5.112,0.163,1.505841801,positive
401.1035,2.348,0.164,-1.50022684,negative
142.0973,1.094,0.165,1.499635513,positive
175.0246,5.38,0.165,-1.497605072,negative
432.2026,5.454,0.165,-1.497740586,negative
302.1962,1.924,0.166,1.494271661,positive
279.1346,0.94,0.166,-1.495139042,negative
352.0712,1.03,0.166,-1.494575046,negative
359.1156,0.557,0.166,-1.494832594,negative
412.1428,0.561,0.166,-1.494178385,negative
459.1501,4.308,0.167,1.489339285,negative
660.1369,3.999,0.167,-1.491733449,negative
119.0359,5.512,0.169,1.48263338,negative
416.9353,1.747,0.169,-1.482325393,negative
