"p.value","m.z","t.score","r.t"
0.234,217.1548,1.267868732,5.348
0.234,185.0819,1.265821008,0.862
0.234,372.0936,-1.265268729,4.817
0.235,321.1793,1.262910143,0.952
0.236,289.0524,1.262028556,2.13
0.236,313.023,-1.260808425,5.662
0.237,341.0653,-1.258072982,3.749
0.237,227.1035,1.258118241,6.034
0.238,146.0813,-1.255099839,1.149
0.238,259.0924,-1.254042615,6.027
0.239,288.1956,-1.253263009,0.873
0.239,637.2961,-1.252379685,6.135
0.239,299.1246,1.252675489,5.173
0.242,270.0849,1.24496279,5.113
0.242,296.1853,-1.243097983,0.806
0.242,243.123,-1.244958505,0.971
0.244,286.1784,1.238141865,0.829
0.244,236.0772,-1.239046896,0.506
0.244,295.0609,-1.238007147,2.42
0.245,172.0978,-1.234026458,0.872
0.245,289.0383,-1.234857451,0.566
0.246,357.2497,1.231911729,7.349
0.246,401.0891,-1.23153897,4.883
0.247,247.0924,-1.230869603,6.031
0.247,287.1598,1.228954618,3.82
0.247,293.0632,-1.230821764,5.651
0.247,201.1131,1.228655438,0.834
0.248,493.244,1.225580903,3.392
