m/z,rt,p-value,t-score,mode
380.0301,1.155,0.92,0.102497136,negative
381.0301,1.155,0.208,-1.345670668,negative
381.0802,3.385,0.641,0.480846893,negative
381.1551,6.237,0.681,-0.423967623,negative
382.9875,3.002,0.379,0.920878723,negative
383.0324,2.787,0.162,1.509411848,negative
383.0464,3.601,0.131,-1.643694629,negative
383.053,3.466,0.215,1.324089573,negative
383.0644,2.771,0.746,0.332802578,negative
383.1529,4.559,0.115,-1.726489147,negative
383.153,4.885,0.806,-0.251653272,negative
384.0537,2.335,0.14,1.600963535,negative
385.1498,5.181,0.533,0.64613707,negative
385.1685,4.355,0.0545,-2.177484296,negative
385.1861,4.524,0.756,0.318718664,negative
387.1489,5.77,0.487,0.721787989,negative
387.1658,5.117,0.652,-0.464936044,negative
388.047,2.937,0.249,1.225340321,negative
388.047,3.398,0.0988,1.82009186,negative
388.047,3.472,0.111,1.750398639,negative
389.0528,0.7,0.884,-0.149424705,negative
389.0919,4.531,0.632,-0.494017156,negative
389.0981,4.564,0.547,-0.622989194,negative
389.1038,0.786,0.458,-0.772225029,negative
389.1043,2.952,0.171,-1.476463202,negative
389.1814,5.311,0.907,0.119562024,negative
391.0332,0.698,0.116,-1.722492092,negative
391.0993,4.492,0.901,-0.127556215,negative
391.1124,0.79,0.222,-1.302373342,negative
391.1968,5.431,0.325,-1.034861038,negative
393.0495,3.605,4.49E-05,6.844579299,negative
393.0776,3.464,0.0139,-2.977352983,negative
393.2643,6.229,0.0111,-3.106031828,negative
394.06,0.685,0.721,-0.367629285,negative
395.0628,0.675,0.0513,-2.212625643,negative
395.0857,2.735,0.878,0.15789191,negative
395.0857,2.92,0.577,-0.576182089,negative
395.091,3.521,0.879,0.155623775,negative
395.1144,4.677,0.217,-1.316939055,negative
396.025,0.663,0.545,0.625888993,negative
396.0904,2.751,0.85,-0.193853305,negative
396.1124,4.459,0.0785,-1.95924336,negative
396.1279,4.011,0.564,0.596268333,negative
396.1297,3.506,0.0734,1.999894472,negative
397.0032,3.133,0.233,1.269628372,negative
397.0034,3.815,0.197,1.382064186,negative
397.0582,0.701,0.0139,-2.97708741,negative
397.1496,4.415,0.584,-0.565919564,negative
397.1911,4.067,0.234,-1.267173665,negative
398.0412,0.681,0.314,1.059467525,negative
399.0203,0.683,0.184,1.427869471,negative
399.1658,3.513,0.201,1.369367667,negative
400.1429,4.669,0.0394,-2.368662941,negative
401.1094,4.24,0.281,-1.140590746,negative
403.066,3.865,0.804,-0.255494807,negative
403.1019,5.042,0.0523,2.202062599,negative
403.1133,4.514,0.0178,-2.832927657,negative
403.1971,3.26,0.763,-0.309261587,negative
403.197,0.807,0.899,-0.130600258,negative
404.0395,3.379,0.481,0.732038019,negative
404.0405,3.511,0.316,1.055171097,negative
405.0285,0.72,0.822,-0.231344653,negative
405.0469,0.697,0.0376,-2.395438187,negative
405.0648,0.668,0.262,-1.189745069,negative
405.118,5.456,0.0266,-2.597199897,negative
405.1764,4.467,0.728,-0.357179281,negative
405.2644,6.291,0.603,0.537595402,negative
407.0405,4.991,0.0432,-2.314706069,negative
407.2799,5.411,0.0906,1.873049412,negative
407.2799,5.805,0.979,0.026557082,negative
407.2801,6.791,0.687,-0.414725161,negative
409.0428,0.71,0.124,-1.680607541,negative
411.0759,4.059,0.38,0.918669941,negative
411.0787,0.764,0.505,0.691964026,negative
411.1279,4.49,0.469,-0.753056558,negative
411.1654,4.559,0.503,-0.694645229,negative
411.2021,4.884,0.0391,-2.371909179,negative
411.2021,5.398,0.108,-1.762501174,negative
412.9977,3.204,0.0786,1.958595383,negative
413.1426,4.219,0.00577,-3.495667747,negative
413.1426,4.51,0.00305,-3.881705749,negative
413.1436,3.2,0.0463,-2.273781971,negative
413.144,3.692,0.0853,-1.909046244,negative
