mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
173.0567_5.365,173.0567,5.365,42078.1085,173.0567_5.365,173.0567_5.365,1,,,,
173.0818_0.849,173.0818,0.849,316366.4,173.0818_0.849,173.0818_0.849,1,,,,
173.9866_2.442,173.9866,2.442,316257.11,Cluster_173.9866_2.442,173.9866_2.442;175.9822_2.443,2,,,,
174.9871_1.845,174.9871,1.845,142404.275,Cluster_172.9922_1.849,172.9922_1.849;174.9871_1.845;174.9956_1.844;93.0345_1.844,4,,,,
174.9871_1.827,174.9871,1.827,131724.18,174.9871_1.827,174.9871_1.827,1,,,,
174.9956_1.844,174.9956,1.844,45008.495,Cluster_172.9922_1.849,172.9922_1.849;174.9871_1.845;174.9956_1.844;93.0345_1.844,4,,,,
175.0245_0.522,175.0245,0.522,42027.1825,Cluster_175.0245_0.522,113.0243_0.521;175.0245_0.522,2,,,,
175.0246_4.153,175.0246,4.153,12362.4485,175.0246_4.153,175.0246_4.153,1,,,,
175.0246_5.38,175.0246,5.38,3073.1991,175.0246_5.38,175.0246_5.38,1,,,,
175.0246_5.701,175.0246,5.701,19258.331,175.0246_5.701,175.0246_5.701,1,,,,
175.061_0.56,175.061,0.56,10094.6045,175.061_0.56,175.061_0.56,1,,,,
175.061_3.616,175.061,3.616,24382.0405,175.061_3.616,175.061_3.616,1,,,,
175.0611_3.502,175.0611,3.502,26944.4055,175.0611_3.502,175.0611_3.502,1,,,,
175.0974_0.773,175.0974,0.773,12369.52,175.0974_0.773,175.0974_0.773,1,,,,
175.0974_0.971,175.0974,0.971,32924.0935,175.0974_0.971,175.0974_0.971,1,,,,
175.9822_2.443,175.9822,2.443,18833.472,Cluster_173.9866_2.442,173.9866_2.442;175.9822_2.443,2,,,,
176.9363_7.959,176.9363,7.959,1444189.55,Cluster_96.9696_7.956,176.9363_7.959;194.947_7.959;96.9696_7.956,3,,,,
177.0405_5.7,177.0405,5.7,261838.805,Cluster_177.0405_5.7,177.0405_5.7;177.0492_5.704,2,,,,
177.0492_5.704,177.0492,5.704,17734.346,Cluster_177.0405_5.7,177.0405_5.7;177.0492_5.704,2,,,,
177.1284_0.774,177.1284,0.774,777.0172,177.1284_0.774,177.1284_0.774,1,,,,
178.0361_1.018,178.0361,1.018,364777.83,178.0361_1.018,178.0361_1.018,1,,,,
178.0444_1.022,178.0444,1.022,22658.873,178.0444_1.022,178.0444_1.022,1,,,,
178.0511_0.524,178.0511,0.524,866204.03,Cluster_178.0511_0.524,134.061_0.525;178.0511_0.524;178.0809_0.525;179.0544_0.524,4,,,,
178.0589_0.533,178.0589,0.533,35594.687,178.0589_0.533,178.0589_0.533,1,,,,
178.0809_0.525,178.0809,0.525,33514.377,Cluster_178.0511_0.524,134.061_0.525;178.0511_0.524;178.0809_0.525;179.0544_0.524,4,,,,
179.0349_5.243,179.0349,5.243,26765.3705,179.0349_5.243,179.0349_5.243,1,,,,
179.0544_0.524,179.0544,0.524,96374.22,Cluster_178.0511_0.524,134.061_0.525;178.0511_0.524;178.0809_0.525;179.0544_0.524,4,,,,
179.0559_5.977,179.0559,5.977,72675.12,179.0559_5.977,179.0559_5.977,1,,,,
