m.z,r.t,p.value,t.score,mode
366.1015,5.18,0.872,-0.164853012,negative
366.1016,4.846,0.776,0.292363392,negative
367.0282,0.707,0.776,0.291824739,negative
367.1578,5.796,0.533,0.645654595,negative
367.2123,5.512,0.976,-0.031137869,negative
367.2236,4.071,0.289,1.118928424,negative
368.0804,3.895,0.932,0.087141372,negative
368.0971,3.297,0.226,1.289544865,negative
368.0998,0.802,0.147,1.571306566,negative
368.9723,3.004,0.693,0.406432561,negative
369.0829,3.476,0.0353,-2.431822136,negative
369.1552,5.993,0.38,0.91758349,negative
369.1737,5.331,0.729,0.356787385,negative
369.1737,6.099,0.693,0.406808547,negative
370.0781,2.895,0.792,-0.271001995,negative
370.0786,0.733,0.891,-0.140796655,negative
370.0972,3.765,0.573,-0.582179198,negative
370.097,3.208,0.577,-0.577032577,negative
370.0981,3.747,0.855,-0.18812698,negative
371.0241,0.671,0.811,0.245758663,negative
371.0976,0.801,0.165,-1.499976844,negative
371.0978,3.481,0.129,-1.655304353,negative
372.0951,0.795,0.0803,-1.945704733,negative
372.1099,3.404,0.89,0.142234809,negative
372.1116,3.914,0.875,0.161228126,negative
373.1067,2.937,0.339,-1.004284925,negative
373.1139,4.04,0.924,-0.097247228,negative
373.1141,3.685,0.015,-2.930087385,negative
373.1514,3.715,0.497,-0.705400808,negative
374.0316,2.965,0.892,0.139583595,negative
374.1378,5.008,0.86,0.181100921,negative
375.054,0.665,0.629,-0.498579562,negative
375.0931,2.077,0.186,-1.420751439,negative
375.1278,3.109,0.0699,-2.029206544,negative
375.1294,0.798,0.0765,-1.975112578,negative
375.1294,4.074,0.411,0.858754863,negative
377.0353,0.713,0.174,-1.464103849,negative
377.0526,0.697,0.165,-1.497257723,negative
377.1019,5.09,0.968,-0.040572263,negative
379.0336,0.708,0.576,0.578596178,negative
379.0338,3.038,0.6,0.540895864,negative
379.0686,0.661,0.732,-0.352554293,negative
379.0909,2.789,0.396,-0.887561458,negative
379.091,3.484,0.442,-0.801153935,negative
379.1393,5.891,0.652,-0.464838856,negative
379.1607,3.652,0.976,0.030958254,negative
379.1607,4.047,0.764,-0.309206491,negative
379.1955,5.602,0.803,0.256165943,negative
380.0301,1.155,0.956,-0.056379108,negative
381.0301,1.155,0.544,-0.627868567,negative
381.0802,3.385,0.987,-0.01635313,negative
381.1551,6.237,0.592,-0.553375888,negative
382.9875,3.002,0.756,0.318948441,negative
383.0324,2.787,0.0865,1.901184296,negative
383.0464,3.601,0.682,-0.422353876,negative
383.053,3.466,0.477,0.738523041,negative
383.0644,2.771,0.792,0.270858304,negative
383.1529,4.559,0.876,-0.159727561,negative
383.153,4.885,0.843,0.20321081,negative
384.0537,2.335,0.465,-0.76036511,negative
385.1498,5.181,0.206,1.352381386,negative
385.1685,4.355,0.757,-0.318165284,negative
385.1861,4.524,0.585,-0.564528564,negative
387.1489,5.77,0.0519,2.205787908,negative
387.1658,5.117,0.904,0.124146422,negative
388.047,2.937,0.808,-0.249482684,negative
388.047,3.398,0.803,0.256135483,negative
388.047,3.472,0.87,0.167483112,negative
389.0528,0.7,0.342,-0.997222769,negative
389.0919,4.531,0.233,1.270328941,negative
389.0981,4.564,0.551,0.616871785,negative
389.1038,0.786,0.46,-0.769026157,negative
389.1043,2.952,0.391,-0.895900113,negative
389.1814,5.311,0.913,-0.111605802,negative
391.0332,0.698,0.846,0.199476198,negative
391.0993,4.492,0.367,0.944190135,negative
391.1124,0.79,0.905,0.122056694,negative
391.1968,5.431,0.252,-1.214649893,negative
393.0495,3.605,1.19E-04,6.076525934,negative
393.0776,3.464,0.0929,-1.857185983,negative
393.2643,6.229,0.618,-0.514988172,negative
394.06,0.685,0.723,-0.36481407,negative
395.0628,0.675,0.662,-0.450237204,negative
